"","station","smoother","edf","Ref.df","F","p.value"
"1","GTMPINUT","s(cont_year)",83.3259071302143,103.246236195676,4.13722776850932,0
"2","JXTR17","s(cont_year)",58.1273942392719,72.308174058197,2.31626713942998,5.51467450837784e-06
"3","GTMSSNUT","s(cont_year)",76.2913572925472,94.6949087391325,4.24535536546069,0
"4","JXTR21","s(cont_year)",67.7673077498172,84.0045063612554,4.09422773809544,0
"5","GTMFMNUT","s(cont_year)",102.870334628986,126.690457780116,6.18795180705765,0
"6","MRT","s(cont_year)",62.8338679385253,78.0155980228736,2.84154179968967,0
"7","GTMPCNUT","s(cont_year)",72.5895769145894,90.109957235655,3.82362644342742,0
