"","station","AIC","GCV","R2"
"GCV.Cp...1","GTMPINUT",-185.291064026771,0.0313169767016637,0.630899659634694
"GCV.Cp...2","GTMSSNUT",-236.691505615252,0.0243147892894752,0.617290677358228
"GCV.Cp...3","GTMFMNUT",-243.43094662488,0.0273784334624857,0.761576972781692
"GCV.Cp...4","GTMPCNUT",55.913478078879,0.0840126324462058,0.582066104918653
