datetimestamp,totprcp,totprcp_prec
9/1/2020,291.50,176.70
10/1/2020,91.20,291.50
11/1/2020,126.10,91.20
12/1/2020,31.60,126.10
1/1/2021,20.10,31.60
2/1/2021,133.00,20.10
3/1/2021,22.60,133.00
4/1/2021,163.50,22.60
5/1/2021,18.50,163.50
6/1/2021,159.40,18.50
7/1/2021,141.40,159.40
8/1/2021,1.40,141.40
9/1/2021,116.80,1.40
10/1/2021,31.70,116.80
11/1/2021,116.70,31.70
12/1/2021,109.60,116.70
1/1/2022,27.40,109.60
2/1/2022,29.40,27.40
3/1/2022,209.10,29.40
4/1/2022,80.90,209.10
5/1/2022,139.80,80.90
6/1/2022,64.10,139.80
7/1/2022,92.70,64.10
8/1/2022,161.60,92.70
9/1/2022,399.30,161.60
10/1/2022,86.50,399.30
11/1/2022,126.20,86.50
12/1/2022,14.30,126.20
,,
