"","station","interann","season","events"
"1","GTMPINUT",0.229866228177273,0.33814369164242,0.352799045245755
"2","GTMSSNUT",0.226971396015848,0.218077974740285,0.343108838466033
"3","GTMFMNUT",0.244779328654679,0.330406009073088,0.412182316109952
"4","GTMPCNUT",0.352085685908368,0.40551139506517,0.509922496074024
