"","Year","month","nao"
"183",2018,"Mar",-0.93
"184",2018,"Apr",1.24
"185",2018,"May",2.12
"186",2018,"Jun",1.09
"187",2018,"Jul",1.39
"188",2018,"Aug",1.97
"189",2018,"Sep",1.67
"190",2018,"Oct",0.93
"191",2018,"Nov",-0.11
"192",2018,"Dec",0.61
"193",2019,"Jan",0.59
"194",2019,"Feb",0.29
"195",2019,"Mar",1.23
"196",2019,"Apr",0.47
"197",2019,"May",-2.62
"198",2019,"Jun",-1.09
"199",2019,"Jul",-1.43
"200",2019,"Aug",-1.17
"201",2019,"Sep",-0.16
"202",2019,"Oct",-1.41
"203",2019,"Nov",0.28
"204",2019,"Dec",1.2
"205",2020,"Jan",1.34
"206",2020,"Feb",1.26
"207",2020,"Mar",1.01
"208",2020,"Apr",-1.02
"209",2020,"May",-0.41
"210",2020,"Jun",-0.15
"211",2020,"Jul",-1.23
"212",2020,"Aug",0.12
"213",2020,"Sep",0.98
"214",2020,"Oct",-0.65
"215",2020,"Nov",2.54
"216",2020,"Dec",-0.3
"217",2021,"Jan",-1.11
"218",2021,"Feb",0.14
"219",2021,"Mar",0.73
"220",2021,"Apr",-1.43
"221",2021,"May",-1.24
"222",2021,"Jun",0.77
"223",2021,"Jul",0.03
"224",2021,"Aug",-0.28
"225",2021,"Sep",-0.21
"226",2021,"Oct",-2.29
"227",2021,"Nov",-0.18
"228",2021,"Dec",0.29
"229",2022,"Jan",1.08
"230",2022,"Feb",1.68
"231",2022,"Mar",0.77
"232",2022,"Apr",-0.36
"233",2022,"May",0.71
"234",2022,"Jun",-0.12
"235",2022,"Jul",-0.09
"236",2022,"Aug",1.47
"237",2022,"Sep",-1.61
"238",2022,"Oct",-0.72
"239",2022,"Nov",0.69
"240",2022,"Dec",-0.15
"241",2023,"Jan",1.25
"242",2023,"Feb",0.92
"243",2023,"Mar",-1.11
"244",2023,"Apr",-0.63
"245",2023,"May",0.39
"246",2023,"Jun",-0.58
"247",2023,"Jul",-2.17
"248",2023,"Aug",-1.16
"249",2023,"Sep",-0.44
"250",2023,"Oct",-2.03
"251",2023,"Nov",-0.32
"252",2023,"Dec",1.94
"253",2024,"Jan",0.21
"254",2024,"Feb",NA
"255",2024,"Mar",NA
"256",2024,"Apr",NA
"257",2024,"May",NA
"258",2024,"Jun",NA
"259",2024,"Jul",NA
"260",2024,"Aug",NA
"261",2024,"Sep",NA
"262",2024,"Oct",NA
"263",2024,"Nov",NA
"264",2024,"Dec",NA
