station,date,value,yr,mo
gtmfmnut,2012-01-23,2.8,2012,Jan
gtmfmnut,2012-02-20,1.7000000000000002,2012,Feb
gtmfmnut,2012-03-06,3.5,2012,Mar
gtmfmnut,2012-04-03,3.8,2012,Apr
gtmfmnut,2012-05-02,3.4,2012,May
gtmfmnut,2012-06-04,4.45,2012,Jun
gtmfmnut,2012-07-16,3.7,2012,Jul
gtmfmnut,2012-08-14,2.7,2012,Aug
gtmfmnut,2012-09-11,4.2,2012,Sep
gtmfmnut,2012-10-25,3.25,2012,Oct
gtmfmnut,2012-11-28,1.8,2012,Nov
gtmfmnut,2012-12-11,1.8,2012,Dec
gtmfmnut,2013-01-09,1.7,2013,Jan
gtmfmnut,2013-02-07,1.2000000000000002,2013,Feb
gtmfmnut,2013-03-07,1.55,2013,Mar
gtmfmnut,2013-04-23,2.95,2013,Apr
gtmfmnut,2013-05-21,4,2013,May
gtmfmnut,2013-06-04,4.4,2013,Jun
gtmfmnut,2013-07-18,5.800000000000001,2013,Jul
gtmfmnut,2013-08-19,3.0999999999999996,2013,Aug
gtmfmnut,2013-09-16,3.15,2013,Sep
gtmfmnut,2013-10-02,4.8,2013,Oct
gtmfmnut,2013-11-14,2.4,2013,Nov
gtmfmnut,2013-12-02,3.0999999999999996,2013,Dec
gtmfmnut,2014-01-13,1.75,2014,Jan
gtmfmnut,2014-02-26,1.65,2014,Feb
gtmfmnut,2014-03-11,2.3499999999999996,2014,Mar
gtmfmnut,2014-04-09,2.8499999999999996,2014,Apr
gtmfmnut,2014-05-12,5.199999999999999,2014,May
gtmfmnut,2014-06-10,4.65,2014,Jun
gtmfmnut,2014-07-09,7.15,2014,Jul
gtmfmnut,2014-08-07,6.15,2014,Aug
gtmfmnut,2014-09-18,4.45,2014,Sep
gtmfmnut,2014-10-20,4.25,2014,Oct
gtmfmnut,2014-11-04,3.5,2014,Nov
gtmfmnut,2014-12-03,2.9,2014,Dec
gtmfmnut,2015-01-20,1.75,2015,Jan
gtmfmnut,2015-02-17,1.7000000000000002,2015,Feb
gtmfmnut,2015-03-17,2.7,2015,Mar
gtmfmnut,2015-04-15,3.5,2015,Apr
gtmfmnut,2015-05-14,4.6,2015,May
gtmfmnut,2015-06-30,11.5,2015,Jun
gtmfmnut,2015-07-14,9.6,2015,Jul
gtmfmnut,2015-08-11,8.15,2015,Aug
gtmfmnut,2015-09-08,3.65,2015,Sep
gtmfmnut,2015-10-08,2.3,2015,Oct
gtmfmnut,2015-12-08,2.55,2015,Dec
gtmfmnut,2016-01-20,1.09,2016,Jan
gtmfmnut,2016-02-17,0.93,2016,Feb
gtmfmnut,2016-03-08,1.1,2016,Mar
gtmfmnut,2016-04-04,4.05,2016,Apr
gtmfmnut,2016-05-03,5.15,2016,May
gtmfmnut,2016-06-15,4.25,2016,Jun
gtmfmnut,2016-07-14,6.300000000000001,2016,Jul
gtmfmnut,2016-08-15,5.199999999999999,2016,Aug
gtmfmnut,2016-09-27,3.35,2016,Sep
gtmfmnut,2016-10-25,2.05,2016,Oct
gtmfmnut,2016-11-14,2.4,2016,Nov
gtmfmnut,2016-12-12,2.05,2016,Dec
gtmfmnut,2017-01-10,1.5,2017,Jan
gtmfmnut,2017-02-08,1.85,2017,Feb
gtmfmnut,2017-03-08,2.3,2017,Mar
gtmfmnut,2017-04-25,3,2017,Apr
gtmfmnut,2017-05-09,4.15,2017,May
gtmfmnut,2017-06-20,4.55,2017,Jun
gtmfmnut,2017-07-19,2.25,2017,Jul
gtmfmnut,2017-08-02,4.35,2017,Aug
gtmfmnut,2017-09-18,2.45,2017,Sep
gtmfmnut,2017-10-17,1.55,2017,Oct
gtmfmnut,2017-11-01,2.75,2017,Nov
gtmfmnut,2017-12-14,2.2,2017,Dec
gtmfmnut,2018-01-16,1.4500000000000002,2018,Jan
gtmfmnut,2018-02-13,1.75,2018,Feb
gtmfmnut,2018-03-27,2.15,2018,Mar
gtmfmnut,2018-04-25,2.7,2018,Apr
gtmfmnut,2018-05-29,15.5,2018,May
gtmfmnut,2018-06-12,6.35,2018,Jun
gtmfmnut,2018-07-24,4.85,2018,Jul
gtmfmnut,2018-08-07,5.8,2018,Aug
gtmfmnut,2018-09-05,5.1,2018,Sep
gtmfmnut,2018-10-23,4,2018,Oct
gtmfmnut,2018-11-06,3.9499999999999997,2018,Nov
gtmfmnut,2018-12-04,2.1500000000000004,2018,Dec
gtmfmnut,2019-01-22,6.6,2019,Jan
gtmfmnut,2019-02-05,3.55,2019,Feb
gtmfmnut,2019-03-05,2,2019,Mar
gtmfmnut,2019-04-03,2.9,2019,Apr
gtmfmnut,2019-05-01,4.55,2019,May
gtmfmnut,2019-06-04,3.8,2019,Jun
gtmfmnut,2019-07-15,5.05,2019,Jul
gtmfmnut,2019-08-13,4.75,2019,Aug
gtmfmnut,2019-09-11,5,2019,Sep
gtmfmnut,2019-10-15,6.45,2019,Oct
gtmfmnut,2019-11-12,3.55,2019,Nov
gtmfmnut,2019-12-10,4.4,2019,Dec
gtmfmnut,2020-01-13,3.9,2020,Jan
gtmfmnut,2020-02-11,5.4,2020,Feb
gtmfmnut,2020-03-10,2.55,2020,Mar
gtmfmnut,2020-04-22,3.85,2020,Apr
gtmfmnut,2020-05-05,5.699999999999999,2020,May
gtmfmnut,2020-06-02,5.3,2020,Jun
gtmfmnut,2020-07-07,7.550000000000001,2020,Jul
gtmfmnut,2020-08-18,4.4,2020,Aug
gtmfmnut,2020-09-15,3.1,2020,Sep
gtmfmnut,2020-10-13,2.6500000000000004,2020,Oct
gtmfmnut,2020-11-17,4.15,2020,Nov
gtmfmnut,2020-12-01,2.95,2020,Dec
gtmfmnut,2021-01-12,1.1,2021,Jan
gtmfmnut,2021-02-09,1.55,2021,Feb
gtmfmnut,2021-03-10,1.65,2021,Mar
gtmfmnut,2021-04-07,2.2,2021,Apr
gtmfmnut,2021-05-11,6.5,2021,May
gtmfmnut,2021-06-08,11,2021,Jun
gtmfmnut,2021-07-21,8.7,2021,Jul
gtmfmnut,2021-08-19,7.2,2021,Aug
gtmfmnut,2021-09-08,4,2021,Sep
gtmfmnut,2021-10-05,4.9,2021,Oct
gtmfmnut,2021-11-02,4,2021,Nov
gtmfmnut,2021-12-06,2.4,2021,Dec
gtmfmnut,2022-01-04,5.2,2022,Jan
gtmfmnut,2022-02-01,4.3,2022,Feb
gtmfmnut,2022-03-02,4.25,2022,Mar
gtmfmnut,2022-04-13,4.5,2022,Apr
gtmfmnut,2022-05-02,5.55,2022,May
gtmfmnut,2022-06-14,5.5,2022,Jun
gtmfmnut,2022-07-12,5.6,2022,Jul
gtmfmnut,2022-08-09,3.3,2022,Aug
gtmfmnut,2022-09-12,3.8,2022,Sep
gtmfmnut,2022-10-10,5.2,2022,Oct
gtmfmnut,2022-11-08,4.300000000000001,2022,Nov
gtmfmnut,2022-12-06,1.75,2022,Dec
gtmfmnut,2005-01-01,1.0314088628432407,2005,Jan
gtmfmnut,2009-06-01,3.3991922062444604,2009,Jun
gtmfmnut,2010-02-01,3.6315878982657073,2010,Feb
gtmfmnut,2015-11-01,2.1703865425511566,2015,Nov
