station,date,value,yr,mo
gtmpcnut,2012-02-20,9.5,2012,Feb
gtmpcnut,2012-03-06,11.399999999999999,2012,Mar
gtmpcnut,2012-04-03,11.850000000000001,2012,Apr
gtmpcnut,2012-05-02,17.55,2012,May
gtmpcnut,2012-06-04,12.75,2012,Jun
gtmpcnut,2012-07-16,6,2012,Jul
gtmpcnut,2012-08-14,30.95,2012,Aug
gtmpcnut,2012-09-11,1.1,2012,Sep
gtmpcnut,2012-10-25,3.4,2012,Oct
gtmpcnut,2012-11-28,4.9,2012,Nov
gtmpcnut,2012-12-11,9.8,2012,Dec
gtmpcnut,2013-01-09,4.55,2013,Jan
gtmpcnut,2013-02-07,6.15,2013,Feb
gtmpcnut,2013-03-07,3.5,2013,Mar
gtmpcnut,2013-04-23,8.1,2013,Apr
gtmpcnut,2013-05-21,3.6999999999999997,2013,May
gtmpcnut,2013-06-04,9.7,2013,Jun
gtmpcnut,2013-07-18,1.25,2013,Jul
gtmpcnut,2013-08-19,1.95,2013,Aug
gtmpcnut,2013-09-16,5.8,2013,Sep
gtmpcnut,2013-10-02,4.800000000000001,2013,Oct
gtmpcnut,2013-11-14,4.95,2013,Nov
gtmpcnut,2013-12-02,3.95,2013,Dec
gtmpcnut,2014-01-13,2.4,2014,Jan
gtmpcnut,2014-02-26,1.7999999999999998,2014,Feb
gtmpcnut,2014-03-11,1.85,2014,Mar
gtmpcnut,2014-04-09,5.1,2014,Apr
gtmpcnut,2014-05-12,6.1,2014,May
gtmpcnut,2014-06-10,13,2014,Jun
gtmpcnut,2014-07-09,14,2014,Jul
gtmpcnut,2014-08-07,14.5,2014,Aug
gtmpcnut,2014-09-18,5.65,2014,Sep
gtmpcnut,2014-10-20,6.35,2014,Oct
gtmpcnut,2014-11-04,6.300000000000001,2014,Nov
gtmpcnut,2014-12-03,2.7,2014,Dec
gtmpcnut,2015-01-20,1.9,2015,Jan
gtmpcnut,2015-02-17,5.3,2015,Feb
gtmpcnut,2015-03-17,11,2015,Mar
gtmpcnut,2015-04-15,8.7,2015,Apr
gtmpcnut,2015-05-14,10.5,2015,May
gtmpcnut,2015-06-30,28,2015,Jun
gtmpcnut,2015-07-14,23,2015,Jul
gtmpcnut,2015-10-08,3.25,2015,Oct
gtmpcnut,2015-11-09,7.45,2015,Nov
gtmpcnut,2015-12-08,3.85,2015,Dec
gtmpcnut,2016-01-20,9.05,2016,Jan
gtmpcnut,2016-02-17,1.65,2016,Feb
gtmpcnut,2016-03-08,3.1,2016,Mar
gtmpcnut,2016-04-04,12.5,2016,Apr
gtmpcnut,2016-05-03,12,2016,May
gtmpcnut,2016-06-15,15,2016,Jun
gtmpcnut,2016-07-14,13,2016,Jul
gtmpcnut,2016-08-15,17,2016,Aug
gtmpcnut,2016-09-27,12.5,2016,Sep
gtmpcnut,2016-10-25,5.300000000000001,2016,Oct
gtmpcnut,2016-11-14,4.85,2016,Nov
gtmpcnut,2016-12-12,2.7,2016,Dec
gtmpcnut,2017-01-10,2.5,2017,Jan
gtmpcnut,2017-02-08,8.2,2017,Feb
gtmpcnut,2017-03-08,13.5,2017,Mar
gtmpcnut,2017-04-25,8.1,2017,Apr
gtmpcnut,2017-05-09,13.35,2017,May
gtmpcnut,2017-06-20,19,2017,Jun
gtmpcnut,2017-07-19,22,2017,Jul
gtmpcnut,2017-08-02,16,2017,Aug
gtmpcnut,2017-09-18,2.55,2017,Sep
gtmpcnut,2017-10-17,2.5,2017,Oct
gtmpcnut,2017-11-01,4.8,2017,Nov
gtmpcnut,2017-12-14,0.6799999999999999,2017,Dec
gtmpcnut,2018-01-16,1.75,2018,Jan
gtmpcnut,2018-02-13,2.2,2018,Feb
gtmpcnut,2018-03-27,5.65,2018,Mar
gtmpcnut,2018-04-25,9.95,2018,Apr
gtmpcnut,2018-05-29,4.199999999999999,2018,May
gtmpcnut,2018-06-12,5.35,2018,Jun
gtmpcnut,2018-07-24,13,2018,Jul
gtmpcnut,2018-08-07,0.975,2018,Aug
gtmpcnut,2018-09-05,8.7,2018,Sep
gtmpcnut,2018-10-23,10.25,2018,Oct
gtmpcnut,2018-11-06,4.7,2018,Nov
gtmpcnut,2018-12-04,3.15,2018,Dec
gtmpcnut,2019-01-22,4.65,2019,Jan
gtmpcnut,2019-02-05,2.2,2019,Feb
gtmpcnut,2019-03-05,6,2019,Mar
gtmpcnut,2019-04-03,5.2,2019,Apr
gtmpcnut,2019-05-01,9.9,2019,May
gtmpcnut,2019-06-04,19,2019,Jun
gtmpcnut,2019-07-15,22,2019,Jul
gtmpcnut,2019-08-13,8,2019,Aug
gtmpcnut,2019-09-11,6.800000000000001,2019,Sep
gtmpcnut,2019-10-15,8.2,2019,Oct
gtmpcnut,2019-11-12,6.1,2019,Nov
gtmpcnut,2019-12-10,5.5,2019,Dec
gtmpcnut,2020-01-13,3.6,2020,Jan
gtmpcnut,2020-02-11,4.35,2020,Feb
gtmpcnut,2020-03-10,3.9000000000000004,2020,Mar
gtmpcnut,2020-04-22,28.15,2020,Apr
gtmpcnut,2020-05-05,15.25,2020,May
gtmpcnut,2020-06-02,16.75,2020,Jun
gtmpcnut,2020-08-18,14,2020,Aug
gtmpcnut,2020-09-15,2.15,2020,Sep
gtmpcnut,2020-10-13,1.7999999999999998,2020,Oct
gtmpcnut,2020-11-17,3.5999999999999996,2020,Nov
gtmpcnut,2020-12-01,2.7,2020,Dec
gtmpcnut,2021-01-12,1.8,2021,Jan
gtmpcnut,2021-02-09,2.5999999999999996,2021,Feb
gtmpcnut,2021-03-10,2.8499999999999996,2021,Mar
