station,date,value,yr,mo
gtmssnut,2012-05-02,4.9,2012,May
gtmssnut,2012-06-04,5.050000000000001,2012,Jun
gtmssnut,2012-07-16,4.25,2012,Jul
gtmssnut,2012-08-14,3.6,2012,Aug
gtmssnut,2012-09-11,4.95,2012,Sep
gtmssnut,2012-10-25,4.35,2012,Oct
gtmssnut,2012-11-28,3.8,2012,Nov
gtmssnut,2012-12-11,3.05,2012,Dec
gtmssnut,2013-01-09,3.4,2013,Jan
gtmssnut,2013-02-07,2.35,2013,Feb
gtmssnut,2013-03-07,2,2013,Mar
gtmssnut,2013-04-23,3,2013,Apr
gtmssnut,2013-05-21,4.05,2013,May
gtmssnut,2013-06-04,4.85,2013,Jun
gtmssnut,2013-07-18,9.600000000000001,2013,Jul
gtmssnut,2013-08-19,3.2,2013,Aug
gtmssnut,2013-09-16,3.75,2013,Sep
gtmssnut,2013-10-02,4.6,2013,Oct
gtmssnut,2013-11-14,3.25,2013,Nov
gtmssnut,2013-12-02,2.6,2013,Dec
gtmssnut,2014-01-13,2.8,2014,Jan
gtmssnut,2014-02-26,2.4,2014,Feb
gtmssnut,2014-03-11,1.8,2014,Mar
gtmssnut,2014-04-09,1.95,2014,Apr
gtmssnut,2014-05-12,5.1,2014,May
gtmssnut,2014-06-10,6.65,2014,Jun
gtmssnut,2014-07-09,6.5,2014,Jul
gtmssnut,2014-08-07,9.1,2014,Aug
gtmssnut,2014-09-18,4.4,2014,Sep
gtmssnut,2014-10-20,5.85,2014,Oct
gtmssnut,2014-11-04,4.4,2014,Nov
gtmssnut,2014-12-03,1.75,2014,Dec
gtmssnut,2015-01-20,3.4,2015,Jan
gtmssnut,2015-02-17,3.1500000000000004,2015,Feb
gtmssnut,2015-03-17,4.3,2015,Mar
gtmssnut,2015-04-15,3.35,2015,Apr
gtmssnut,2015-05-14,4.15,2015,May
gtmssnut,2015-06-30,9.05,2015,Jun
gtmssnut,2015-07-14,8.5,2015,Jul
gtmssnut,2015-08-11,8.55,2015,Aug
gtmssnut,2015-09-08,3.85,2015,Sep
gtmssnut,2015-10-08,2.75,2015,Oct
gtmssnut,2015-11-09,2.8,2015,Nov
gtmssnut,2015-12-08,6.6,2015,Dec
gtmssnut,2016-01-20,2.95,2016,Jan
gtmssnut,2016-02-17,2.05,2016,Feb
gtmssnut,2016-03-08,3.6,2016,Mar
gtmssnut,2016-04-04,3.1500000000000004,2016,Apr
gtmssnut,2016-05-03,5.75,2016,May
gtmssnut,2016-06-15,4.699999999999999,2016,Jun
gtmssnut,2016-07-14,10.5,2016,Jul
gtmssnut,2016-08-15,6.300000000000001,2016,Aug
gtmssnut,2016-09-27,5.5,2016,Sep
gtmssnut,2016-10-25,4.35,2016,Oct
gtmssnut,2016-11-14,3.1,2016,Nov
gtmssnut,2016-12-12,2.6,2016,Dec
gtmssnut,2017-01-10,2.5,2017,Jan
gtmssnut,2017-02-08,3.2,2017,Feb
gtmssnut,2017-03-08,3,2017,Mar
gtmssnut,2017-04-25,3.05,2017,Apr
gtmssnut,2017-05-09,3.6500000000000004,2017,May
gtmssnut,2017-06-20,2.45,2017,Jun
gtmssnut,2017-07-19,2.6,2017,Jul
