"","datetimestamp","station","temp_mean","temp_min","temp_max","sal_mean","sal_min","sal_max"
"120",2012-11-01,"Pine Island",17.6507986111111,17.1466666666667,18.1933333333333,32.3374692874693,31.1692307692308,33.3730769230769
"121",2012-12-01,"Pine Island",17.1042674731183,16.5612903225806,17.7354838709677,28.5264784946237,25.8387096774194,30.858064516129
"122",2013-01-01,"Pine Island",17.3143817204301,16.641935483871,18.0967741935484,28.7018481182796,25.7741935483871,31.3967741935484
"123",2013-02-01,"Pine Island",17.5049479166667,16.8821428571429,18.2607142857143,33.7616071428571,32.7285714285714,34.7607142857143
"124",2013-03-01,"Pine Island",17.1628360215054,16.541935483871,18.0161290322581,33.670127688172,31.7096774193548,35.0741935483871
"125",2013-04-01,"Pine Island",22.5953472222222,21.8266666666667,23.6666666666667,31.9254513888889,30.58,33.06
"126",2013-05-01,"Pine Island",25.1545362903226,24.4870967741935,26.058064516129,18.3352822580645,14.3935483870968,23.3129032258065
"127",2013-06-01,"Pine Island",29.0249652777778,28.4633333333333,29.8133333333333,27.10375,24.6233333333333,29.96
"128",2013-07-01,"Pine Island",29.2853158602151,28.658064516129,30.1129032258065,28.9030266825966,26.2555555555556,31.5925925925926
"129",2013-08-01,"Pine Island",30.4823194997157,29.8368421052632,31.1947368421053,29.1558464223386,26.8894736842105,31.8789473684211
"130",2013-09-01,"Pine Island",28.6222659323367,28.1035714285714,29.2428571428571,26.2744536940687,22.8227272727273,29.7181818181818
"131",2013-10-01,"Pine Island",24.8431115591398,24.2483870967742,25.5064516129032,24.573689516129,21.2516129032258,28
"132",2013-11-01,"Pine Island",20.0046527777778,19.3133333333333,20.6366666666667,25.0194444444444,21.2933333333333,28.7666666666667
"133",2013-12-01,"Pine Island",17.9558803763441,17.4161290322581,18.6548387096774,26.9632056451613,23.8838709677419,30.1935483870968
"134",2014-01-01,"Pine Island",13.3073588709677,12.6451612903226,14.0967741935484,22.4837701612903,17.958064516129,26.9838709677419
"135",2014-02-01,"Pine Island",15.7556175595238,15.1607142857143,16.6178571428571,22.9466145833333,18.9535714285714,26.8321428571429
"136",2014-03-01,"Pine Island",17.7315188172043,17.0064516129032,18.6967741935484,20.0032930107527,15.5064516129032,24.8967741935484
"137",2014-04-01,"Pine Island",22.7179861111111,21.96,23.73,20.7564236111111,16.4033333333333,25.8066666666667
"138",2014-05-01,"Pine Island",26.2083669354839,25.5451612903226,27.0645161290323,28.3395693135935,25.1096774193548,31.2032258064516
"139",2014-06-01,"Pine Island",28.7396527777778,28.1333333333333,29.52,34.3359517720132,33.7689655172414,35.1620689655172
"140",2014-07-01,"Pine Island",29.804872311828,29.2451612903226,30.4774193548387,28.2926937738247,25.3833333333333,31.1833333333333
"141",2014-08-01,"Pine Island",30.0434139784946,29.4612903225806,30.7,26.4720766129032,22.3967741935484,30.7
"142",2014-09-01,"Pine Island",28.6961458333333,28.1533333333333,29.34,26.5554826254826,22.7,30.4035714285714
"143",2014-10-01,"Pine Island",25.096438172043,24.5032258064516,25.6741935483871,22.0468894601542,17.5952380952381,26.8619047619048
"144",2014-11-01,"Pine Island",17.9670138888889,17.1733333333333,18.69,26.2755902777778,22.8,29.5266666666667
"145",2014-12-01,"Pine Island",16.7853494623656,16.2290322580645,17.3483870967742,23.9395833333333,20.0290322580645,27.8032258064516
"146",2015-01-01,"Pine Island",14.9242607526882,14.3935483870968,15.5451612903226,21.9101927194861,17.556,26.268
"147",2015-02-01,"Pine Island",14.1401041666667,13.65,14.8178571428571,22.635119047619,18.4928571428571,26.6571428571429
"148",2015-03-01,"Pine Island",20.093313172043,19.1290322580645,21.1258064516129,23.8787298387097,20.9774193548387,26.658064516129
"149",2015-04-01,"Pine Island",24.5247569444444,23.7533333333333,25.4366666666667,28.6558139534884,27.1352941176471,29.9705882352941
"150",2015-05-01,"Pine Island",26.8991599462366,26.241935483871,27.8096774193548,31.3725434551259,30.6193548387097,32.2903225806452
"151",2015-06-01,"Pine Island",29.6421527777778,29.0566666666667,30.38,33.8427060539752,33.4965517241379,34.2
