station,date,value,yr,mo
gtmpinut,2012-05-02,5.050000000000001,2012,May
gtmpinut,2012-06-04,7.300000000000001,2012,Jun
gtmpinut,2012-07-16,6.800000000000001,2012,Jul
gtmpinut,2012-08-14,3.05,2012,Aug
gtmpinut,2012-09-11,2.9,2012,Sep
gtmpinut,2012-10-25,3.7,2012,Oct
gtmpinut,2012-11-28,3.8,2012,Nov
gtmpinut,2012-12-11,3.3,2012,Dec
gtmpinut,2013-01-09,3.65,2013,Jan
gtmpinut,2013-02-07,2.75,2013,Feb
gtmpinut,2013-03-07,3.15,2013,Mar
gtmpinut,2013-04-23,3.4,2013,Apr
gtmpinut,2013-05-21,3.3,2013,May
gtmpinut,2013-06-04,3.5,2013,Jun
gtmpinut,2013-07-18,7.6,2013,Jul
gtmpinut,2013-08-19,3.95,2013,Aug
gtmpinut,2013-09-16,2.8,2013,Sep
gtmpinut,2013-10-02,2.2,2013,Oct
gtmpinut,2013-11-14,2.9000000000000004,2013,Nov
gtmpinut,2013-12-02,3.5,2013,Dec
gtmpinut,2014-01-13,2.05,2014,Jan
gtmpinut,2014-02-26,3,2014,Feb
gtmpinut,2014-03-11,2.3499999999999996,2014,Mar
gtmpinut,2014-04-09,2.95,2014,Apr
gtmpinut,2014-05-12,5.1,2014,May
gtmpinut,2014-06-10,5.35,2014,Jun
gtmpinut,2014-07-09,9.35,2014,Jul
gtmpinut,2014-08-07,8.1,2014,Aug
gtmpinut,2014-09-18,4.45,2014,Sep
gtmpinut,2014-10-20,3.65,2014,Oct
gtmpinut,2014-11-04,4.5,2014,Nov
gtmpinut,2014-12-03,4,2014,Dec
gtmpinut,2015-01-20,2.9,2015,Jan
gtmpinut,2015-02-17,2.4000000000000004,2015,Feb
gtmpinut,2015-03-17,9.15,2015,Mar
gtmpinut,2015-04-15,7.45,2015,Apr
gtmpinut,2015-05-14,4.45,2015,May
gtmpinut,2015-06-30,8.399999999999999,2015,Jun
gtmpinut,2015-07-14,13,2015,Jul
gtmpinut,2015-09-08,2.05,2015,Sep
gtmpinut,2015-10-08,1.75,2015,Oct
gtmpinut,2015-11-09,2.7,2015,Nov
gtmpinut,2015-12-08,2.95,2015,Dec
gtmpinut,2016-01-20,3.65,2016,Jan
gtmpinut,2016-02-17,4.4,2016,Feb
gtmpinut,2016-03-08,3.8,2016,Mar
gtmpinut,2016-04-04,7,2016,Apr
gtmpinut,2016-05-03,3.6,2016,May
gtmpinut,2016-06-15,11.5,2016,Jun
gtmpinut,2016-07-14,13.5,2016,Jul
gtmpinut,2016-08-15,8.6,2016,Aug
gtmpinut,2016-09-27,6.5,2016,Sep
gtmpinut,2016-10-25,2.4,2016,Oct
gtmpinut,2016-11-14,4.05,2016,Nov
gtmpinut,2016-12-12,3.05,2016,Dec
gtmpinut,2017-01-10,4.550000000000001,2017,Jan
gtmpinut,2017-02-08,5.05,2017,Feb
gtmpinut,2017-03-08,5.15,2017,Mar
gtmpinut,2017-04-25,4.75,2017,Apr
gtmpinut,2017-05-09,6.85,2017,May
gtmpinut,2017-06-20,3.35,2017,Jun
gtmpinut,2017-07-19,13.1,2017,Jul
gtmpinut,2017-08-02,5.4,2017,Aug
gtmpinut,2017-09-18,3.05,2017,Sep
gtmpinut,2017-10-17,1.9500000000000002,2017,Oct
gtmpinut,2017-11-01,2.2,2017,Nov
gtmpinut,2017-12-14,1.7,2017,Dec
gtmpinut,2018-01-16,3.5,2018,Jan
gtmpinut,2018-02-13,3.1,2018,Feb
gtmpinut,2018-03-27,2.7,2018,Mar
gtmpinut,2018-04-25,5.3,2018,Apr
gtmpinut,2018-05-29,6.800000000000001,2018,May
gtmpinut,2018-06-12,5,2018,Jun
gtmpinut,2018-07-24,4.35,2018,Jul
gtmpinut,2018-08-07,11,2018,Aug
gtmpinut,2018-09-05,3.75,2018,Sep
gtmpinut,2018-10-23,5,2018,Oct
gtmpinut,2018-11-06,4.05,2018,Nov
gtmpinut,2018-12-04,2.85,2018,Dec
gtmpinut,2019-01-22,5.95,2019,Jan
gtmpinut,2019-02-05,2.1,2019,Feb
gtmpinut,2019-03-05,3.2,2019,Mar
gtmpinut,2019-04-03,4.35,2019,Apr
gtmpinut,2019-05-01,4.75,2019,May
gtmpinut,2019-06-04,2.5,2019,Jun
gtmpinut,2019-07-15,10.5,2019,Jul
gtmpinut,2019-08-13,10.45,2019,Aug
gtmpinut,2019-09-11,3.3,2019,Sep
gtmpinut,2019-10-15,5.1,2019,Oct
gtmpinut,2019-11-12,3.6,2019,Nov
gtmpinut,2019-12-10,2.9,2019,Dec
